,vres,i_leftmost,diff_i,diff_v,vgate,name,type,time,OK
0,54.01801,-2.8637259999999998,-1.175997,6.523991,640.4278,tran_SchGtAfsTlVh,Sch,Sun Apr 23 21:04:11 2023,False
1,46.16538,-3.510603,-0.2854715,-0.9591638,566.2561000000001,tran_SchGtAsfTlVh,Sch,Sun Apr 23 21:03:45 2023,False
2,54.79499,-2.5727629999999997,-1.9609679999999998,7.246821,629.2466,tran_SchGtAffTlVh,Sch,Sun Apr 23 21:03:22 2023,False
3,42.24062,-0.6031324,0.3195625,-4.62256,581.1915,tran_SchGtAssTlVh,Sch,Sun Apr 23 21:02:58 2023,False
4,54.01801,-2.8637259999999998,-1.175997,6.523991,640.4278,tran_SchGtAfsThVh,Sch,Sun Apr 23 21:02:35 2023,False
5,46.16538,-3.510603,-0.2854715,-0.9591638,566.2561000000001,tran_SchGtAsfThVh,Sch,Sun Apr 23 21:02:05 2023,False
6,54.79499,-2.5727629999999997,-1.9609679999999998,7.246821,629.2466,tran_SchGtAffThVh,Sch,Sun Apr 23 21:01:39 2023,False
7,42.24062,-0.6031324,0.3195625,-4.62256,581.1915,tran_SchGtAssThVh,Sch,Sun Apr 23 21:01:12 2023,False
8,54.01801,-2.8637259999999998,-1.175997,6.523991,640.4278,tran_SchGtAfsTlVl,Sch,Sun Apr 23 21:00:46 2023,False
9,46.16538,-3.510603,-0.2854715,-0.9591638,566.2561000000001,tran_SchGtAsfTlVl,Sch,Sun Apr 23 21:00:23 2023,False
10,54.79499,-2.5727629999999997,-1.9609679999999998,7.246821,629.2466,tran_SchGtAffTlVl,Sch,Sun Apr 23 20:59:59 2023,False
11,42.24062,-0.6031324,0.3195625,-4.62256,581.1915,tran_SchGtAssTlVl,Sch,Sun Apr 23 20:59:34 2023,False
12,54.01801,-2.8637259999999998,-1.175997,6.523991,640.4278,tran_SchGtAfsThVl,Sch,Sun Apr 23 20:59:10 2023,False
13,46.16538,-3.510603,-0.2854715,-0.9591638,566.2561000000001,tran_SchGtAsfThVl,Sch,Sun Apr 23 20:58:46 2023,False
14,54.79499,-2.5727629999999997,-1.9609679999999998,7.246821,629.2466,tran_SchGtAffThVl,Sch,Sun Apr 23 20:58:22 2023,False
15,42.24062,-0.6031324,0.3195625,-4.62256,581.1915,tran_SchGtAssThVl,Sch,Sun Apr 23 20:57:58 2023,False
