,vres,ouais,name,type,time,OK
0,52.39497,873.3743000000001,tran_SchGtAmcttTtVt_32,Sch,Fri Apr 28 12:24:22 2023,False
1,52.30075,873.5164,tran_SchGtAmcttTtVt_31,Sch,Fri Apr 28 12:23:55 2023,False
2,51.437780000000004,872.1154,tran_SchGtAmcttTtVt_30,Sch,Fri Apr 28 12:23:29 2023,False
3,48.80947,868.0645999999999,tran_SchGtAmcttTtVt_29,Sch,Fri Apr 28 12:23:02 2023,False
4,45.71821,863.325,tran_SchGtAmcttTtVt_28,Sch,Fri Apr 28 12:22:32 2023,False
5,48.912949999999995,867.8706000000001,tran_SchGtAmcttTtVt_27,Sch,Fri Apr 28 12:22:01 2023,False
6,40.71131,855.2147,tran_SchGtAmcttTtVt_26,Sch,Fri Apr 28 12:21:35 2023,False
7,43.46612,859.3411,tran_SchGtAmcttTtVt_25,Sch,Fri Apr 28 12:21:08 2023,False
8,48.67001,867.1074,tran_SchGtAmcttTtVt_24,Sch,Fri Apr 28 12:20:40 2023,False
9,45.17268,862.4519,tran_SchGtAmcttTtVt_23,Sch,Fri Apr 28 12:20:08 2023,False
10,52.94439,873.7972000000001,tran_SchGtAmcttTtVt_22,Sch,Fri Apr 28 12:19:40 2023,False
11,56.40189,878.572,tran_SchGtAmcttTtVt_21,Sch,Fri Apr 28 12:19:14 2023,False
12,47.31363,865.3126,tran_SchGtAmcttTtVt_20,Sch,Fri Apr 28 12:18:45 2023,False
13,45.73465,863.2473,tran_SchGtAmcttTtVt_19,Sch,Fri Apr 28 12:18:19 2023,False
14,45.7365,863.4069,tran_SchGtAmcttTtVt_18,Sch,Fri Apr 28 12:17:51 2023,False
15,46.3832,864.5359,tran_SchGtAmcttTtVt_17,Sch,Fri Apr 28 12:17:25 2023,False
16,43.88019,861.2129,tran_SchGtAmcttTtVt_16,Sch,Fri Apr 28 12:16:55 2023,False
17,47.78951,866.4729,tran_SchGtAmcttTtVt_15,Sch,Fri Apr 28 12:16:27 2023,False
18,48.82389,867.9208000000001,tran_SchGtAmcttTtVt_14,Sch,Fri Apr 28 12:16:01 2023,False
19,44.48245,861.7218,tran_SchGtAmcttTtVt_13,Sch,Fri Apr 28 12:15:34 2023,False
20,48.61786,867.52,tran_SchGtAmcttTtVt_12,Sch,Fri Apr 28 12:15:07 2023,False
21,50.64882,869.9014000000001,tran_SchGtAmcttTtVt_11,Sch,Fri Apr 28 12:14:40 2023,False
22,49.23058,868.6161,tran_SchGtAmcttTtVt_10,Sch,Fri Apr 28 12:14:13 2023,False
23,49.67618,869.0499000000001,tran_SchGtAmcttTtVt_9,Sch,Fri Apr 28 12:13:46 2023,False
24,49.52827,868.447,tran_SchGtAmcttTtVt_8,Sch,Fri Apr 28 12:13:19 2023,False
25,51.89473,872.7173,tran_SchGtAmcttTtVt_7,Sch,Fri Apr 28 12:12:53 2023,False
26,48.19813,866.6806,tran_SchGtAmcttTtVt_6,Sch,Fri Apr 28 12:12:25 2023,False
27,52.64226,873.4164,tran_SchGtAmcttTtVt_5,Sch,Fri Apr 28 12:11:57 2023,False
28,47.93755,866.5110999999999,tran_SchGtAmcttTtVt_4,Sch,Fri Apr 28 12:11:31 2023,False
29,49.05826,867.6074,tran_SchGtAmcttTtVt_3,Sch,Fri Apr 28 12:11:03 2023,False
30,41.93737,857.8806,tran_SchGtAmcttTtVt_2,Sch,Fri Apr 28 12:10:37 2023,False
31,46.87822,865.8971,tran_SchGtAmcttTtVt_1,Sch,Fri Apr 28 12:10:09 2023,False
32,44.85935,861.8785,tran_SchGtAmcttTtVt,Sch,Fri Apr 28 12:09:41 2023,False
