,vres,ouais,name,type,time,OK
0,63.9127,760.4792,tran_SchGtAmcttTtVt_32,Sch,Fri Apr 28 14:07:36 2023,False
1,63.664,760.4064000000001,tran_SchGtAmcttTtVt_31,Sch,Fri Apr 28 14:07:06 2023,False
2,64.88994,762.024,tran_SchGtAmcttTtVt_30,Sch,Fri Apr 28 14:06:38 2023,False
3,67.67602000000001,766.2485,tran_SchGtAmcttTtVt_29,Sch,Fri Apr 28 14:06:08 2023,False
4,61.1303,756.669,tran_SchGtAmcttTtVt_28,Sch,Fri Apr 28 14:05:39 2023,False
5,64.37857,761.2508,tran_SchGtAmcttTtVt_27,Sch,Fri Apr 28 14:05:09 2023,False
6,65.99136,763.6965,tran_SchGtAmcttTtVt_26,Sch,Fri Apr 28 14:04:41 2023,False
7,63.841120000000004,760.5981,tran_SchGtAmcttTtVt_25,Sch,Fri Apr 28 14:04:11 2023,False
8,65.28013,762.9095,tran_SchGtAmcttTtVt_24,Sch,Fri Apr 28 14:03:42 2023,False
9,67.565,766.1842,tran_SchGtAmcttTtVt_23,Sch,Fri Apr 28 14:03:12 2023,False
10,65.68959000000001,763.5545999999999,tran_SchGtAmcttTtVt_22,Sch,Fri Apr 28 14:02:40 2023,False
11,61.058170000000004,756.7644,tran_SchGtAmcttTtVt_21,Sch,Fri Apr 28 14:02:09 2023,False
12,66.23701999999999,764.0339,tran_SchGtAmcttTtVt_20,Sch,Fri Apr 28 14:01:39 2023,False
13,69.46365,768.6749000000001,tran_SchGtAmcttTtVt_19,Sch,Fri Apr 28 14:01:10 2023,False
14,65.20948,762.842,tran_SchGtAmcttTtVt_18,Sch,Fri Apr 28 14:00:40 2023,False
15,69.2807,768.5735,tran_SchGtAmcttTtVt_17,Sch,Fri Apr 28 14:00:04 2023,False
16,70.16234,769.6485,tran_SchGtAmcttTtVt_16,Sch,Fri Apr 28 13:59:33 2023,False
17,63.29127,759.8075,tran_SchGtAmcttTtVt_15,Sch,Fri Apr 28 13:59:02 2023,False
18,65.43074,763.1463000000001,tran_SchGtAmcttTtVt_14,Sch,Fri Apr 28 13:58:21 2023,False
19,65.16686,762.6872999999999,tran_SchGtAmcttTtVt_13,Sch,Fri Apr 28 13:57:47 2023,False
20,69.76983,769.1957,tran_SchGtAmcttTtVt_12,Sch,Fri Apr 28 13:57:17 2023,False
21,64.72783,762.137,tran_SchGtAmcttTtVt_11,Sch,Fri Apr 28 13:56:41 2023,False
22,66.01919000000001,763.8734000000001,tran_SchGtAmcttTtVt_10,Sch,Fri Apr 28 13:56:11 2023,False
23,67.41082,766.0312,tran_SchGtAmcttTtVt_9,Sch,Fri Apr 28 13:55:41 2023,False
24,61.08548,756.9504999999999,tran_SchGtAmcttTtVt_8,Sch,Fri Apr 28 13:55:03 2023,False
25,68.82747,767.8931,tran_SchGtAmcttTtVt_7,Sch,Fri Apr 28 13:54:22 2023,False
26,73.33446,774.047,tran_SchGtAmcttTtVt_6,Sch,Fri Apr 28 13:53:33 2023,False
27,66.22849000000001,764.0167,tran_SchGtAmcttTtVt_5,Sch,Fri Apr 28 13:52:51 2023,False
28,70.20235,770.0475,tran_SchGtAmcttTtVt_4,Sch,Fri Apr 28 13:52:17 2023,False
29,62.47826,758.6299,tran_SchGtAmcttTtVt_3,Sch,Fri Apr 28 13:51:36 2023,False
30,60.740660000000005,756.0801,tran_SchGtAmcttTtVt_2,Sch,Fri Apr 28 13:51:01 2023,False
31,65.11654999999999,762.7918,tran_SchGtAmcttTtVt_1,Sch,Fri Apr 28 13:50:18 2023,False
32,63.54551,760.4294,tran_SchGtAmcttTtVt,Sch,Fri Apr 28 13:49:38 2023,False
